arch,repeat_id,hyperparams,total_params,train_loss,valid_loss,val_accuracy,val_best_accuracy,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_mcc,time
TST,1,{},419205,0.5849526524543762,0.6561627388000488,0.7075999975204468,0.7486000061035156,0.7424,0.7401982671569936,0.7424000000000001,0.7391119959971608,0.9468487499999998,0.678986571299015,120
ResCNN,1,{},256646,0.4410780072212219,0.5860341787338257,0.7545999884605408,0.7598000168800354,0.7374,0.7348380950395044,0.7373999999999999,0.7345806778246224,0.9469215500000001,0.6724326639495635,71
TST,0,{},419205,0.5819559693336487,0.6583972573280334,0.7020000219345093,0.7427999973297119,0.7342,0.7362387160745776,0.7342000000000001,0.7312422521151032,0.9446736999999998,0.6694068913142353,120
TST,2,{},419205,0.5849649310112,0.6837586164474487,0.6863999962806702,0.7325999736785889,0.7312,0.7297750826781828,0.7312,0.7271024088411556,0.9427953,0.6654691475465534,119
LSTM,2,"{'n_layers': 1, 'bidirectional': False}",41705,0.6490598320960999,0.644827127456665,0.7197999954223633,0.7197999954223633,0.717,0.7251168287264262,0.717,0.7141587379918704,0.9366983249999998,0.6493852350417325,48
LSTM,0,"{'n_layers': 1, 'bidirectional': False}",41705,0.6685786843299866,0.6671518683433533,0.7174000144004822,0.7174000144004822,0.7126,0.7212210839720556,0.7125999999999999,0.7096254219759047,0.930896225,0.644098743697785,48
BiLSTM,0,"{'n_layers': 1, 'bidirectional': True}",83405,0.6841487288475037,0.6785868406295776,0.7160000205039978,0.7179999947547913,0.7122,0.7206511890763491,0.7121999999999999,0.7094613030039061,0.9293211749999999,0.6434496262609385,53
LSTM,1,"{'n_layers': 1, 'bidirectional': False}",41705,0.6797251105308533,0.6770516633987427,0.7149999737739563,0.7160000205039978,0.7114,0.7193986047639233,0.7114,0.7080990251362947,0.9292821,0.6425775285853913,47
RNN,0,"{'n_layers': 1, 'bidirectional': False}",10805,0.6879170536994934,0.6891246438026428,0.7013999819755554,0.7027999758720398,0.7032,0.7062840428914907,0.7032,0.6987248389949825,0.9282906499999999,0.6316351837575502,46
BiLSTM,2,"{'n_layers': 1, 'bidirectional': True}",83405,0.6826756596565247,0.6761170625686646,0.7059999704360962,0.7059999704360962,0.7022,0.7080340039060298,0.7021999999999999,0.6974401706103661,0.9276421749999999,0.6311972609873652,53
BiLSTM,1,"{'n_layers': 1, 'bidirectional': True}",83405,0.6922198534011841,0.6860426068305969,0.7038000226020813,0.7063999772071838,0.702,0.7079538531949524,0.7020000000000001,0.700060331033692,0.92608195,0.6296352190297785,53
RNN,1,"{'n_layers': 1, 'bidirectional': False}",10805,0.7023649215698242,0.6979336142539978,0.6922000050544739,0.6944000124931335,0.6916,0.6898931824453973,0.6916,0.6871456899855188,0.9254848500000001,0.6160754712059392,47
RNN,2,"{'n_layers': 1, 'bidirectional': False}",10805,0.7069002389907837,0.7021371722221375,0.6895999908447266,0.6930000185966492,0.6916,0.6920625433290587,0.6916,0.6872025473377076,0.9249438499999998,0.6165266481557155,47
AutoGluon,,,,,,,,0.7872,,,,0.9643,0.7347,
