arch,repeat_id,hyperparams,total_params,train_loss,valid_loss,val_accuracy,val_best_accuracy,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_mcc,time
mWDNPlus,1,{},457945,0.5152315497398376,0.5295870900154114,0.7728000283241272,0.7731999754905701,0.7576,0.7570457692319625,0.7575999999999999,0.7568320055678546,0.9563244000000001,0.6972379730693953,191
mWDN,2,{},457945,0.5073531270027161,0.5304184556007385,0.7731999754905701,0.7731999754905701,0.7556,0.754796954919229,0.7556,0.7541484246865133,0.9566013999999999,0.694981371810497,173
ResNet,2,{},478853,0.2647852897644043,0.7486499547958374,0.7454000115394592,0.7570000290870667,0.7552,0.754321800504329,0.7552,0.752365364943482,0.95033145,0.6950996485922988,175
ResNet,1,{},478853,0.3425498306751251,0.6227346658706665,0.7537999749183655,0.7608000040054321,0.7472,0.7450100782861215,0.7472,0.7430501244916261,0.9513388500000002,0.6853704662349435,174
ResCNN,0,{},256646,0.4032989740371704,0.6178115606307983,0.7459999918937683,0.7504000067710876,0.7416,0.739932591277305,0.7415999999999999,0.7401434651360075,0.9471764,0.6772667940756203,129
ResNet,0,{},478853,0.16873086988925934,1.0205206871032715,0.7305999994277954,0.751800000667572,0.741,0.7423746642329213,0.741,0.7347886808896932,0.9507345,0.6791591949082835,167
ResCNN,1,{},256646,0.41798892617225647,0.6067079305648804,0.7458000183105469,0.7577999830245972,0.7376,0.7359724136848422,0.7375999999999999,0.7365594575603925,0.94806515,0.6721067726419249,120
ResCNN,2,{},256646,0.4042656123638153,0.6205633878707886,0.7426000237464905,0.748199999332428,0.7356,0.7376459749075618,0.7356,0.7332106491017037,0.94498055,0.670946509685736,121
TST,1,{},419205,0.5829412937164307,0.6716392636299133,0.704800009727478,0.7379999756813049,0.7306,0.7325724594620938,0.7306,0.7309080264480179,0.94419685,0.663573139262182,186
TST,0,{},419205,0.589779257774353,0.6692147254943848,0.6953999996185303,0.7372000217437744,0.7296,0.7323656117325079,0.7296000000000001,0.7294372533094917,0.94448495,0.6627266473631641,219
TST,2,{},419205,0.5859249234199524,0.6472784876823425,0.7156000137329102,0.7314000129699707,0.726,0.7271988719618507,0.7260000000000001,0.7241534119905588,0.94400575,0.6586386177419481,141
LSTM,2,"{'n_layers': 1, 'bidirectional': False}",41705,0.6642897725105286,0.6629341840744019,0.7179999947547913,0.7193999886512756,0.7138,0.7223915349039407,0.7138,0.7107624375586846,0.9317294,0.6455967651473058,91
BiLSTM,2,"{'n_layers': 1, 'bidirectional': True}",83405,0.6751357913017273,0.671381413936615,0.7134000062942505,0.7160000205039978,0.7126,0.720490598397215,0.7125999999999999,0.7097287516777813,0.9299555749999999,0.6438605350684394,85
BiLSTM,1,"{'n_layers': 1, 'bidirectional': True}",83405,0.6728070974349976,0.6649496555328369,0.7129999995231628,0.7142000198364258,0.7122,0.7189177759155888,0.7121999999999999,0.7090260155506889,0.9316840750000001,0.643129855542642,80
LSTM,0,"{'n_layers': 1, 'bidirectional': False}",41705,0.6627073287963867,0.6616988182067871,0.7188000082969666,0.7203999757766724,0.7116,0.7199145434433856,0.7116,0.7079152849422818,0.9302633,0.6430983304755712,79
LSTM,1,"{'n_layers': 1, 'bidirectional': False}",41705,0.6783521771430969,0.6764732003211975,0.7128000259399414,0.7134000062942505,0.709,0.7169378563323591,0.709,0.7054243376894173,0.9289849749999999,0.6397082062314376,83
RNN,0,"{'n_layers': 1, 'bidirectional': False}",10805,0.6851367950439453,0.6815430521965027,0.7031999826431274,0.7067999839782715,0.7066,0.7109271221382696,0.7066000000000001,0.7041609904328296,0.9283673499999999,0.6352405322047837,96
BiLSTM,0,"{'n_layers': 1, 'bidirectional': True}",83405,0.6916305422782898,0.68282151222229,0.7017999887466431,0.703000009059906,0.7066,0.7136363246064841,0.7066000000000001,0.7032751886275512,0.926845975,0.6363293306056457,89
RNN,2,"{'n_layers': 1, 'bidirectional': False}",10805,0.6901621222496033,0.684367299079895,0.7089999914169312,0.7089999914169312,0.7028,0.7065189802927245,0.7028,0.6980551680666462,0.9269983500000001,0.6313510208348607,86
RNN,1,"{'n_layers': 1, 'bidirectional': False}",10805,0.697019100189209,0.6930621862411499,0.7031999826431274,0.7038000226020813,0.6936,0.6941894738250094,0.6936,0.6907181920853138,0.9254036000000001,0.6183991960202101,94
AutoGluon,,,,,,,,0.7882,,,,0.9642,0.7359,
